Input,Error,P,I,D,Integral,Output,SetPoint,dtMS
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,10
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,10
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,10
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,10
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,11
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,10
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,10
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,16
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,16
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,16
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,16
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,10
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,16
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,10
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,10
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,16
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,10
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,568.086548,0.000000,50.000000,14
50.000000,-25.000000,-25.000000,-0.000000,-0.000000,-400.000000,-25.000000,25.000000,16
37.500000,-12.500000,-12.500000,-0.000000,0.000000,-550.000000,-12.500000,25.000000,12
31.250000,-6.250000,-6.250000,-0.000000,0.000000,-650.000000,-6.250000,25.000000,16
28.125000,-3.125000,-3.125000,-0.000000,0.000000,-693.750000,-3.125000,25.000000,14
26.562500,-1.562500,-1.562500,-0.000000,0.000000,-715.625000,-1.562500,25.000000,14
25.781250,-0.781250,-0.781250,-0.000000,0.000000,-728.125000,-0.781250,25.000000,16
25.390625,-0.390625,-0.390625,-0.000000,0.000000,-733.593750,-0.390625,25.000000,14
